1. e4 e5 2. Nf3 Nc6 3. d4 exd4 4. Nxd4 Nf6 5. Nxc6 bxc6 ;93;Kasparov - Karpov, 1990 (C45)
1. Nf3 Nf6 2. c4 e6 3. Nc3 Bb4 4. Qc2 O-O 5. a3 Bxc3 ;15;Kasparov - Karpov, 1990 (A17)
1. d4 d5 2. c4 c6 3. Nc3 Nf6 4. e3 e6 5. Nf3 a6 ;15;Kasparov - Gelfand, 1991 (D45)
1. d4 Nf6 2. c4 g6 3. Nf3 Bg7 4. g3 O-O 5. Bg2 c6 ;9;Karpov - Gelfand, 1991 (D79)
1. d4 Nf6 2. c4 e6 3. Nf3 d5 4. Nc3 c6 5. e3 Nbd7 ;63;Karpov - Kasparov, 1991 (D45)
1. e4 c6 2. d4 d5 3. Nc3 dxe4 4. Nxe4 Nd7 5. Bc4 Ngf6 ;6;Ivanchuk - Karpov, 1991 (B17)
1. c4 Nf6 2. Nf3 g6 3. Nc3 Bg7 4. e4 O-O 5. d4 d6 ;1;Kasparov - Ivanchuk, 1991 (E92)
1. d4 d5 2. c4 dxc4 3. e4 Nf6 4. e5 Nd5 5. Bxc4 Nb6 ;35;Karpov - Ivanchuk, 1991 (D20)
1. d4 e6 2. c4 Nf6 3. Nf3 b6 4. g3 Be7 5. Bg2 Bb7 ;1;Karpov - Ivanchuk, 1992 (E19)
1. d4 Nf6 2. c4 e6 3. Nf3 b6 4. a3 Bb7 5. Nc3 d5 ;45;Ivanchuk - Karpov, 1992 (E12)
1. d4 d5 2. c4 dxc4 3. e4 e5 4. Nf3 Bb4+ 5. Bd2 Bxd2+ ;3;Karpov - Ivanchuk, 1992 (D20)
1. e4 c6 2. c4 d5 3. exd5 cxd5 4. d4 Nf6 5. Nc3 e6 ;2;Ivanchuk - Karpov, 1992 (D42)
1. e4 c5 2. c3 Nf6 3. e5 Nd5 4. Nf3 Nc6 5. Bc4 Nb6 ;8;Ivanchuk - Kasparov, 1992 (B22)
1. Nf3 c5 2. c4 Nc6 3. Nc3 Nf6 4. g3 d6 5. Bg2 g6 ;1;Kasparov - Ivanchuk, 1992 (A31)
1. d4 Nf6 2. c4 e6 3. Nc3 Bb4 4. f3 d5 5. a3 Bxc3+ ;28;Shirov - Karpov, 1992 (E25)
1. d4 d5 2. c4 c6 3. Nc3 Nf6 4. e3 e6 5. Nf3 Nbd7 ;86;Karpov - Shirov, 1992 (D46)
1. e4 e5 2. Nf3 Nc6 3. Nc3 Nf6 4. d4 exd4 5. Nxd4 Bb4 ;53;Shirov - Karpov, 1992 (C47)
1. e4 e5 2. Nf3 Nf6 3. d4 Nxe4 4. Bd3 d5 5. Nxe5 Nd7 ;49;Kasparov - Ivanchuk, 1992 (C43)
1. e4 e6 2. d4 d5 3. Nc3 dxe4 4. Nxe4 Bd7 5. Nf3 Bc6 ;18;Anand - Karpov, 1993 (C10)
1. d4 d5 2. c4 c6 3. Nf3 Nf6 4. Nc3 dxc4 5. a4 Bf5 ;92;Kasparov - Anand, 1993 (D18)
1. d4 Nf6 2. c4 e6 3. Nc3 Bb4 4. Nf3 b6 5. Bg5 Bb7 ;6;Ivanchuk - Anand, 1993 (E13)
1. e4 c6 2. d4 d5 3. Nc3 dxe4 4. Nxe4 Nd7 5. Ng5 Ngf6 ;16;Anand - Karpov, 1993 (B17)
1. Nf3 d5 2. d4 Nf6 3. c4 e6 4. Nc3 Nbd7 5. Bg5 c6 ;2;Kramnik - Ivanchuk, 1993 (D52)
1. d4 d5 2. c4 e6 3. Nc3 c6 4. e3 f5 5. f4 Nf6 ;1;Karpov - Ivanchuk, 1993 (A84)
1. e4 c6 2. d4 d5 3. e5 Bf5 4. h4 h5 5. c4 e6 ;12;Ivanchuk - Karpov, 1993 (B12)
1. d4 d5 2. c4 e6 3. Nc3 c6 4. e3 Nf6 5. Nf3 Nbd7 ;7;Karpov - Ivanchuk, 1993 (D45)
1. d4 d5 2. c4 c6 3. cxd5 cxd5 4. Nf3 Nf6 5. Nc3 Nc6 ;4;Kramnik - Anand, 1993 (D14)
1. Nf3 Nf6 2. c4 c5 3. Nc3 Nc6 4. g3 e6 5. Bg2 d5 ;1;Kramnik - Anand, 1994 (D41)
1. d4 Nf6 2. c4 c6 3. Nc3 d5 4. Nf3 e6 5. Bg5 dxc4 ;1;Kasparov - Ivanchuk, 1994 (D44)
1. d4 Nf6 2. c4 e6 3. Nf3 b6 4. g3 Ba6 5. Nbd2 Bb7 ;10;Ivanchuk - Karpov, 1994 (E15)
1. e4 e5 2. Nf3 Nc6 3. Nc3 Nf6 4. Bb5 Nd4 5. Ba4 Nxf3+ ;1;Shirov - Ivanchuk, 1994 (C48)
1. e4 c6 2. d4 d5 3. Nd2 dxe4 4. Nxe4 Nd7 5. Bc4 Ngf6 ;5;Kasparov - Karpov, 1994 (B17)
1. Nf3 d5 2. d4 Nf6 3. c4 c6 4. Nc3 dxc4 5. a4 Bf5 ;15;Kramnik - Ivanchuk, 1994 (D17)
1. e4 c5 2. Nf3 d6 3. Bb5+ Nd7 4. O-O Nf6 5. Re1 a6 ;7;Shirov - Kasparov, 1994 (B51)
1. e4 e5 2. Nf3 Nf6 3. d4 Nxe4 4. Bd3 Nc6 5. dxe5 d5 ;2;Ivanchuk - Anand, 1994 (C43)
1. d4 d5 2. c4 c6 3. Nf3 Nf6 4. Nc3 e6 5. e3 Nbd7 ;67;Karpov - Shirov, 1994 (D47)
1. e4 c5 2. Nc3 d6 3. Nge2 Nc6 4. d4 cxd4 5. Nxd4 Nf6 ;2;Kasparov - Anand, 1994 (B80)
1. Nf3 d5 2. d4 Bf5 3. c4 e6 4. Nc3 c6 5. Qb3 Qb6 ;2;Kramnik - Shirov, 1994 (D11)
1. d4 d5 2. c4 c6 3. Nc3 Nf6 4. Nf3 e6 5. Bg5 h6 ;22;Shirov - Anand, 1994 (D43)
1. d4 Nf6 2. c4 e6 3. Nf3 c5 4. Nc3 cxd4 5. Nxd4 a6 ;2;Karpov - Ivanchuk, 1994 (A32)
1. Nf3 d5 2. d4 Nf6 3. c4 dxc4 4. Nc3 a6 5. e4 b5 ;1;Kramnik - Ivanchuk, 1994 (D24)
1. e4 c5 2. Nf3 Nc6 3. d4 cxd4 4. Nxd4 e5 5. Nb5 d6 ;40;Anand - Kramnik, 1994 (B33)
1. Nf3 Nf6 2. c4 b6 3. g3 Bb7 4. Bg2 c5 5. O-O g6 ;7;Kramnik - Karpov, 1994 (A30)
1. Nf3 c5 2. c4 Nf6 3. Nc3 Nc6 4. d4 cxd4 5. Nxd4 e6 ;3;Kramnik - Anand, 1994 (A33)
1. e4 c5 2. Nc3 Nc6 3. Nge2 Nf6 4. d4 cxd4 5. Nxd4 e5 ;2;Kasparov - Kramnik, 1994 (B33)
1. e4 c5 2. Nf3 Nc6 3. d4 cxd4 4. Nxd4 g6 5. c4 Nf6 ;22;Ivanchuk - Anand, 1994 (B36)
1. e4 c5 2. Nf3 Nc6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 e5 ;188;Anand - Kramnik, 1994 (B33)
1. e4 c5 2. Nf3 Nc6 3. Bb5 g6 4. O-O Bg7 5. c3 Nf6 ;21;Anand - Kramnik, 1994 (B31)
1. Nf3 c5 2. c4 g6 3. e4 Nc6 4. d4 cxd4 5. Nxd4 Nf6 ;1;Kramnik - Anand, 1994 (B36)
1. Nf3 c5 2. g3 g6 3. Bg2 Bg7 4. O-O Nc6 5. d3 Nf6 ;1;Kramnik - Anand, 1994 (B25)
1. e4 c6 2. d4 d5 3. e5 Bf5 4. Nf3 e6 5. Be2 c5 ;68;Shirov - Karpov, 1994 (B12)
1. e4 c5 2. Nc3 Nc6 3. f4 e6 4. Nf3 Nge7 5. g3 d5 ;1;Anand - Kasparov, 1994 (B24)
1. Nf3 c5 2. g3 g6 3. c3 Bg7 4. d4 cxd4 5. cxd4 d5 ;1;Kasparov - Anand, 1994 (A04)
1. d4 d5 2. c4 c6 3. Nf3 Nf6 4. Nc3 e6 5. Bg5 dxc4 ;11;Kasparov - Kramnik, 1994 (D44)
1. e4 c5 2. Nf3 e6 3. c4 Nc6 4. d4 cxd4 5. Nxd4 Nf6 ;1;Kramnik - Kasparov, 1994 (B44)
1. c4 e5 2. Nc3 Bb4 3. Nd5 Be7 4. d4 d6 5. e4 c6 ;1;Kasparov - Shirov, 1994 (A21)
1. e4 c5 2. Nf3 Nc6 3. d4 cxd4 4. Nxd4 e6 5. Nc3 d6 ;2;Shirov - Kasparov, 1994 (B54)
1. e4 c5 2. Nf3 Nc6 3. Bb5 g6 4. Bxc6 dxc6 5. h3 e5 ;2;Shirov - Kramnik, 1994 (B31)
1. Nf3 Nf6 2. c4 g6 3. Nc3 d5 4. cxd5 Nxd5 5. e4 Nxc3 ;17;Kramnik - Kasparov, 1994 (D85)
1. e4 c5 2. Nf3 e6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 Nc6 ;50;Kasparov - Shirov, 1994 (B33)
1. e4 c5 2. Nf3 e6 3. d4 cxd4 4. Nxd4 Nc6 5. Nc3 Qc7 ;135;Salov - Karpov, 1994 (B49)
1. e4 c5 2. Nf3 Nc6 3. d4 cxd4 4. Nxd4 e6 5. g3 d5 ;1;Anand - Salov, 1994 (B44)
1. e4 c5 2. Nf3 d6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 e6 ;23;Shirov - Salov, 1994 (B81)
1. e4 c5 2. c3 d5 3. exd5 Qxd5 4. d4 Nf6 5. Nf3 Bg4 ;1;Kramnik - Kasparov, 1994 (B22)
